Date,BBCA.JK,TLKM.JK
2023-01-02,8342.64453125,3646.5361328125
2023-01-03,8342.64453125,3704.113037109375
2023-01-04,8147.49560546875,3665.728271484375
2023-01-05,8049.9208984375,3617.74755859375
2023-01-06,8098.7080078125,3560.170654296875
2023-01-09,8245.0693359375,3636.93994140625
2023-01-10,7976.7392578125,3675.324462890625
2023-01-11,7927.9521484375,3713.708984375
2023-01-12,7976.7392578125,3704.113037109375
2023-01-13,7854.77099609375,3627.34375
2023-01-16,7952.345703125,3694.516845703125
2023-01-17,8123.1015625,3790.478271484375
2023-01-18,8098.7080078125,3771.285888671875
2023-01-19,8123.1015625,3732.9013671875
2023-01-20,8098.7080078125,3713.708984375
2023-01-24,8025.52685546875,3694.516845703125
2023-01-25,8001.13330078125,3684.920654296875
2023-01-26,8269.4638671875,3809.670654296875
2023-01-27,8489.0078125,3800.074462890625
2023-01-30,8489.0078125,3800.074462890625
2023-01-31,8269.4638671875,3694.516845703125
2023-02-01,8293.857421875,3713.708984375
2023-02-02,8245.0693359375,3732.9013671875
2023-02-03,8489.0078125,3723.30517578125
2023-02-06,8513.400390625,3723.30517578125
2023-02-07,8635.369140625,3646.5361328125
2023-02-08,8610.9755859375,3684.920654296875
2023-02-09,8684.15625,3617.74755859375
2023-02-10,8610.9755859375,3646.5361328125
2023-02-13,8659.763671875,3636.93994140625
2023-02-14,8732.9443359375,3646.5361328125
2023-02-15,8659.763671875,3636.93994140625
2023-02-16,8489.0078125,3617.74755859375
2023-02-17,8513.400390625,3608.1513671875
2023-02-20,8537.794921875,3665.728271484375
2023-02-21,8489.0078125,3684.920654296875
2023-02-22,8464.61328125,3704.113037109375
2023-02-23,8513.400390625,3809.670654296875
2023-02-24,8464.61328125,3876.843505859375
2023-02-27,8562.1884765625,3800.074462890625
2023-02-28,8537.794921875,3723.30517578125
2023-03-01,8391.4326171875,3771.285888671875
2023-03-02,8415.826171875,3723.30517578125
2023-03-03,8269.4638671875,3742.49755859375
2023-03-06,8196.283203125,3723.30517578125
2023-03-07,8220.6767578125,3723.30517578125
2023-03-08,8367.0390625,3780.882080078125
2023-03-09,8367.0390625,3809.670654296875
2023-03-10,8245.0693359375,3848.05517578125
2023-03-13,8342.64453125,3905.632080078125
2023-03-14,8123.1015625,3857.6513671875
2023-03-15,8123.1015625,3848.05517578125
2023-03-16,8098.7080078125,3886.439697265625
2023-03-17,8171.88916015625,3886.439697265625
2023-03-20,8196.283203125,3828.86279296875
2023-03-21,8293.857421875,3953.61279296875
2023-03-24,8610.9755859375,3905.632080078125
2023-03-27,8489.0078125,3886.439697265625
2023-03-28,8464.61328125,3886.439697265625
2023-03-29,8758.212890625,3934.42041015625
2023-03-30,8783.09375,3924.824462890625
2023-03-31,8708.4501953125,3896.035888671875
2023-04-03,8758.212890625,3915.228271484375
2023-04-04,8733.3310546875,3896.035888671875
2023-04-05,8683.568359375,3982.401123046875
2023-04-06,8708.4501953125,4078.36279296875
2023-04-10,8758.212890625,4126.34326171875
2023-04-11,8783.09375,4126.34326171875
2023-04-12,8857.7373046875,4135.939453125
2023-04-13,8882.619140625,4164.72802734375
2023-04-14,8957.2626953125,4164.72802734375
2023-04-17,8982.1435546875,4097.55517578125
2023-04-18,9081.6689453125,4097.55517578125
2023-04-26,9156.3134765625,4222.3046875
2023-04-27,9106.55078125,4145.53564453125
2023-04-28,9007.025390625,4078.36279296875
2023-05-02,9007.025390625,4020.785888671875
2023-05-03,8882.619140625,3982.401123046875
2023-05-04,8957.2626953125,3982.401123046875
2023-05-05,8957.2626953125,4001.593505859375
2023-05-08,8957.2626953125,3896.035888671875
2023-05-09,8882.619140625,3905.632080078125
2023-05-10,8882.619140625,3963.208984375
2023-05-11,8783.09375,3924.824462890625
2023-05-12,8758.212890625,3819.2666015625
2023-05-15,8733.3310546875,3819.2666015625
2023-05-16,8658.6875,3819.2666015625
2023-05-17,8733.3310546875,3828.86279296875
2023-05-19,8957.2626953125,3857.6513671875
2023-05-22,8957.2626953125,3876.843505859375
2023-05-23,9081.6689453125,3876.843505859375
2023-05-24,8982.1435546875,3991.997314453125
2023-05-25,9007.025390625,3953.61279296875
2023-05-26,9106.55078125,3963.208984375
2023-05-29,9106.55078125,4030.382080078125
2023-05-30,9206.0751953125,3953.61279296875
2023-05-31,9007.025390625,3876.843505859375
2023-06-05,9156.3134765625,3915.228271484375
2023-06-06,9106.55078125,3924.824462890625
2023-06-07,9056.7880859375,3982.401123046875
2023-06-08,9081.6689453125,4001.593505859375
2023-06-09,9056.7880859375,3982.401123046875
2023-06-12,9106.55078125,4050.0
2023-06-13,9106.55078125,4030.0
2023-06-14,9031.90625,4000.0
2023-06-15,9007.025390625,4020.0
2023-06-16,9007.025390625,3970.0
2023-06-19,8957.2626953125,3960.0
2023-06-20,9007.025390625,3990.0
2023-06-21,9081.6689453125,3980.0
2023-06-22,9007.025390625,3940.0
2023-06-23,9007.025390625,3950.0
2023-06-26,9031.90625,3990.0
2023-06-27,9106.55078125,4000.0
2023-07-03,9031.90625,4000.0
2023-07-04,9007.025390625,3970.0
2023-07-05,9007.025390625,3980.0
2023-07-06,9031.90625,3960.0
2023-07-07,8982.1435546875,3960.0
2023-07-10,9007.025390625,3950.0
2023-07-11,8982.1435546875,3980.0
2023-07-12,9131.431640625,3980.0
2023-07-13,9081.6689453125,3920.0
2023-07-14,9156.3134765625,3930.0
2023-07-17,9131.431640625,3910.0
2023-07-18,9106.55078125,3850.0
2023-07-20,9106.55078125,3850.0
2023-07-21,9106.55078125,3860.0
2023-07-24,9056.7880859375,3900.0
2023-07-25,9106.55078125,3880.0
2023-07-26,9305.6005859375,3880.0
2023-07-27,9181.1943359375,3720.0
2023-07-28,9081.6689453125,3720.0
2023-07-31,9081.6689453125,3720.0
2023-08-01,9081.6689453125,3750.0
2023-08-02,9156.3134765625,3690.0
2023-08-03,9206.0751953125,3720.0
2023-08-04,9106.55078125,3690.0
2023-08-07,9230.95703125,3680.0
2023-08-08,9156.3134765625,3730.0
2023-08-09,9355.36328125,3770.0
2023-08-10,9355.36328125,3800.0
2023-08-11,9355.36328125,3810.0
2023-08-14,9305.6005859375,3830.0
2023-08-15,9255.837890625,3820.0
2023-08-16,9255.837890625,3830.0
2023-08-18,9206.0751953125,3760.0
2023-08-21,9131.431640625,3740.0
2023-08-22,9255.837890625,3750.0
2023-08-23,9255.837890625,3740.0
2023-08-24,9156.3134765625,3720.0
2023-08-25,9230.95703125,3720.0
2023-08-28,9156.3134765625,3700.0
2023-08-29,9206.0751953125,3720.0
2023-08-30,9156.3134765625,3810.0
2023-08-31,9131.431640625,3730.0
2023-09-01,9181.1943359375,3720.0
2023-09-04,9181.1943359375,3730.0
2023-09-05,9181.1943359375,3740.0
2023-09-06,9106.55078125,3790.0
2023-09-07,9131.431640625,3760.0
2023-09-08,9081.6689453125,3690.0
2023-09-11,9081.6689453125,3700.0
2023-09-12,9056.7880859375,3710.0
2023-09-13,9031.90625,3710.0
2023-09-14,9056.7880859375,3680.0
2023-09-15,8957.2626953125,3720.0
2023-09-18,8957.2626953125,3680.0
2023-09-19,9031.90625,3730.0
2023-09-20,9106.55078125,3810.0
2023-09-21,9081.6689453125,3810.0
2023-09-22,9031.90625,3860.0
2023-09-25,8957.2626953125,3770.0
2023-09-26,8907.5,3760.0
2023-09-27,8832.8564453125,3720.0
2023-09-29,8783.09375,3750.0
2023-10-02,9031.90625,3750.0
2023-10-03,9156.3134765625,3770.0
2023-10-04,9156.3134765625,3780.0
2023-10-05,9031.90625,3720.0
2023-10-06,8982.1435546875,3780.0
2023-10-09,9007.025390625,3760.0
2023-10-10,8882.619140625,3810.0
2023-10-11,8882.619140625,3780.0
2023-10-12,9007.025390625,3830.0
2023-10-13,9031.90625,3850.0
2023-10-16,9056.7880859375,3760.0
2023-10-17,8907.5,3790.0
2023-10-18,8807.974609375,3750.0
2023-10-19,8708.4501953125,3730.0
2023-10-20,8932.3818359375,3700.0
2023-10-23,8807.974609375,3610.0
2023-10-24,8733.3310546875,3650.0
2023-10-25,8832.8564453125,3600.0
2023-10-26,8683.568359375,3480.0
2023-10-27,8658.6875,3500.0
2023-10-30,8807.974609375,3420.0
2023-10-31,8708.4501953125,3490.0
2023-11-01,8559.162109375,3620.0
2023-11-02,8807.974609375,3620.0
2023-11-03,8857.7373046875,3570.0
2023-11-06,9007.025390625,3650.0
2023-11-07,8932.3818359375,3570.0
2023-11-08,8957.2626953125,3520.0
2023-11-09,8957.2626953125,3530.0
2023-11-10,8783.09375,3550.0
2023-11-13,8832.8564453125,3520.0
2023-11-14,8882.619140625,3500.0
2023-11-15,9007.025390625,3550.0
2023-11-16,9031.90625,3540.0
2023-11-17,9031.90625,3550.0
2023-11-20,8832.8564453125,3590.0
2023-11-21,8733.3310546875,3620.0
2023-11-22,8832.8564453125,3610.0
2023-11-23,8882.619140625,3600.0
2023-11-24,8882.619140625,3620.0
2023-11-27,8832.8564453125,3680.0
2023-11-28,8832.8564453125,3770.0
2023-11-29,8857.7373046875,3720.0
2023-11-30,8932.3818359375,3760.0
2023-12-01,8907.5,3830.0
2023-12-04,8925.0,3810.0
2023-12-05,8900.0,3850.0
2023-12-06,8800.0,3920.0
2023-12-07,8825.0,3910.0
2023-12-08,8750.0,3940.0
2023-12-11,8750.0,3980.0
2023-12-12,8700.0,3910.0
2023-12-13,8675.0,3920.0
2023-12-14,9050.0,3940.0
2023-12-15,9225.0,3980.0
2023-12-18,9200.0,3970.0
2023-12-19,9250.0,3970.0
2023-12-20,9300.0,3960.0
2023-12-21,9325.0,3950.0
2023-12-22,9325.0,3960.0
2023-12-27,9375.0,3940.0
2023-12-28,9400.0,3960.0
2023-12-29,9400.0,3950.0
2024-01-02,9425.0,3990.0
2024-01-03,9350.0,3960.0
2024-01-04,9475.0,3970.0
2024-01-05,9575.0,3890.0
2024-01-08,9575.0,3890.0
2024-01-09,9625.0,3960.0
2024-01-10,9550.0,4000.0
2024-01-11,9575.0,3990.0
2024-01-12,9700.0,4010.0
2024-01-15,9725.0,4000.0
2024-01-16,9700.0,4010.0
2024-01-17,9750.0,3990.0
2024-01-18,9675.0,3950.0
2024-01-19,9625.0,3940.0
2024-01-22,9625.0,3980.0
2024-01-23,9600.0,3950.0
2024-01-24,9525.0,3970.0
2024-01-25,9500.0,3980.0
2024-01-26,9350.0,3980.0
